team1_name,team2_name,game_time,best_ratio_team1,best_ratio_team1_betting_site,best_ratio_draw,best_ratio_draw_betting_site,best_ratio_team2,best_ratio_team2_betting_site
Marseille,Reims,Starting in 24′,1.7,betfair,3.5,betfair,5.5,betfair
Santa Clara,Famalicao,Starting in 24′,1.85,betfair,3.25,betfair,4.0,betfair
Zaglebie Lubin,Arka Gdynia,Starting in 24′,2.0,betfair,3.25,betfair,3.5,betfair
FC Avan Academy,Gandzasar Kapan,Starting in 24′,1.5,betfair,3.5,betfair,6.0,betfair
Radnik Bijeljina,Borac Banja Luka,Starting in 24′,1.85,betfair,3.25,betfair,4.0,betfair
Mladost Doboj Kakanj,Tuzla City,Starting in 24′,2.3,betfair,3.0,betfair,2.75,betfair
Triglav,Mura,Starting in 24′,2.75,betfair,3.5,betfair,2.2,betfair
Legionovia Legionowo,Pogon Siedlce,Starting in 24′,2.5,betfair,3.25,betfair,2.5,betfair
Pistoiese,Pontedera,Starting in 24′,3.25,betfair,3.0,betfair,2.1,betfair
FK Iskra Danilovgrad,OFK Titograd,Starting in 24′,2.3,betfair,3.0,betfair,3.0,betfair
Rudar Pljevlja,FK Grbalj,Starting in 24′,3.25,betfair,3.0,betfair,2.1,betfair
FK Kom,OFK Petrovac,Starting in 24′,2.75,betfair,3.0,betfair,2.5,betfair
OFK Mladost,FK Buducnost Podgorica,Starting in 24′,8.0,betfair,4.5,betfair,1.32,betfair
FK Buducnost Dobanovci,FK Trayal Krusevac,Starting in 24′,2.5,betfair,3.0,betfair,2.5,betfair
FK Graficar,Zarkovo,Starting in 24′,2.3,betfair,3.0,betfair,3.0,betfair
Zemun,Sindelic Belgrade,Starting in 24′,1.75,betfair,3.25,betfair,4.0,betfair
Radnicki Pirot,Metalac Gornji Milanovac,Starting in 24′,2.75,betfair,3.25,betfair,2.2,betfair
Dinamo Vranje,Backa Palanka,Starting in 24′,1.85,betfair,3.5,betfair,3.5,betfair
FK Smederevo,Kolubara Lazarevac,Starting in 24′,2.1,betfair,3.0,betfair,3.25,betfair
Zfk Spartak Subotica (W),Slovan Bratislava (W),Starting in 24′,1.08,betfair,10.0,betfair,16.0,betfair
Miedz Legnica,Chrobry Glogow,Starting in 39′,1.46,betfair,4.0,betfair,6.0,betfair
FC Dnjapro-MCZ,Dinamo Brest,Starting in 39′,6.0,betfair,5.0,betfair,1.34,betfair
Atletico Madrid,Juventus,17:06,2.5,betfair,3.25,betfair,2.5,betfair
Sassuolo,Alessandria,Starting in 54′,1.2,betfair,6.0,betfair,10.0,betfair
Eskisehirspor,Konyaspor,Starting in 54′,3.25,betfair,3.5,betfair,1.95,betfair
Omonia,Anorthosis,Starting in 54′,2.0,betfair,3.25,betfair,3.5,betfair
Sundsvall,Ostersunds FK,Starting in 54′,2.3,betfair,3.0,betfair,3.0,betfair
FK Krasnodar,Rubin Kazan,Starting in 54′,1.54,betfair,3.5,betfair,6.0,betfair
Dinamo Moscow,Zenit St Petersburg,Starting in 54′,3.5,betfair,3.0,betfair,2.1,betfair
Norrby IF,Degerfors,Starting in 54′,2.5,betfair,3.25,betfair,2.4,betfair
KV Oostende,Club Brugge,Starting in 54′,6.0,betfair,5.0,betfair,1.38,betfair
Riteriai,Atlantas Klaipeda,Starting in 54′,1.28,betfair,5.0,betfair,8.0,betfair
Rancagua Sur,Provincial Ovalle FC,Starting in 54′,2.4,betfair,3.25,betfair,2.5,betfair
Deportes Union Companias,Real San Joaquin,Starting in 54′,1.85,betfair,3.25,betfair,4.0,betfair
Municipal Santiago Fc,Brujas de Salamanca,Starting in 54′,2.3,betfair,3.5,betfair,2.75,betfair
Keila JK,Paide Linnameeskond II,Starting in 54′,1.24,betfair,6.0,betfair,7.0,betfair
FC Armavir,FC Chayka,Starting in 54′,2.4,betfair,2.75,betfair,3.0,betfair
Atenas,Tacuarembo,Starting in 54′,1.7,betfair,3.5,betfair,4.0,betfair
Cape Town CIty F.C.,Stellenbosch FC,Starting in 54′,1.85,betfair,3.0,betfair,4.0,betfair
GKS Tychy,Odra Opole,Starting in 54′,2.1,betfair,3.25,betfair,3.0,betfair
Belenenses U19,FC Alverca U19,Starting in 54′,2.4,betfair,3.5,betfair,2.4,betfair
UD Leiria U19,Academica U19,Starting in 54′,1.85,betfair,4.0,betfair,3.25,betfair
SL Benfica Lisbon U19,Setubal U19,Starting in 54′,1.2,betfair,7.0,betfair,8.0,betfair
Sacavenense U19,Tondela U19,Starting in 54′,3.25,betfair,4.0,betfair,1.85,betfair
Famalicao U19,CD Aves U19,Starting in 54′,3.0,betfair,3.5,betfair,2.0,betfair
Leixoes U19,Vizela U19,Starting in 54′,1.48,betfair,4.0,betfair,5.0,betfair
Amora U19,Estoril Praia U19,Starting in 54′,3.0,betfair,3.5,betfair,2.0,betfair
Braga U19,Pacos Ferreira U19,Starting in 54′,1.32,betfair,5.0,betfair,7.0,betfair
Ruzomberok,Zilina,Starting in 54′,3.0,betfair,3.25,betfair,2.2,betfair
Stade Malien de Bamako,Horoya AC,Starting in 54′,2.3,betfair,3.25,betfair,2.75,betfair
Modena,SS Virtus Verona 1921,Starting in 54′,3.0,betfair,3.0,betfair,2.2,betfair
Bastia,Stade de Reims II,Starting in 54′,1.64,betfair,3.5,betfair,4.5,betfair
Bourges Foot,Sete,Starting in 54′,2.3,betfair,3.0,betfair,2.75,betfair
Nantes 2,Angouleme Chte FC,Starting in 54′,1.5,betfair,4.0,betfair,6.0,betfair
Sedan,Lille OSC 2,Starting in 54′,2.2,betfair,3.0,betfair,3.0,betfair
Colomiers,Andrezieux Boutheon,Starting in 54′,2.5,betfair,3.0,betfair,2.5,betfair
Ste Genevieve,Croix Iris Club,Starting in 54′,1.75,betfair,3.25,betfair,4.0,betfair
